epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8785589933395386,0.0010000000474974513,0.33373409509658813,0.9534883499145508,0.13854894042015076
1,0.9610691666603088,0.0010000000474974513,0.11309973150491714,0.9720930457115173,0.09608839452266693
2,0.958163857460022,0.0010000000474974513,0.10661303251981735,0.934883713722229,0.18752342462539673
3,0.9610691666603088,0.0010000000474974513,0.1014227569103241,0.9813953638076782,0.06356565654277802
4,0.973271369934082,0.0010000000474974513,0.07390350848436356,0.9488372206687927,0.1786019653081894
5,0.9697850346565247,0.0010000000474974513,0.08979632705450058,0.9860464930534363,0.05960017070174217
6,0.973271369934082,0.0010000000474974513,0.08110412210226059,0.9720930457115173,0.08205138891935349
7,0.9628123044967651,0.0010000000474974513,0.09145514667034149,0.9674418568611145,0.09791810810565948
8,0.9819872379302979,0.0003000000142492354,0.05007584020495415,0.9720930457115173,0.08211236447095871
9,0.9843114614486694,0.0003000000142492354,0.04376901686191559,0.9674418568611145,0.09765160828828812
10,0.9802440404891968,9.000000136438757e-05,0.050390347838401794,0.9720930457115173,0.07868598401546478
